0,0,0
1.3427e-05,-7.5593e-06,0.00025252
-0.00010543,-0.00028116,0.00046206
-0.00046704,-0.0010708,0.00075188
-0.00094927,-0.002711,0.0019161
-0.0010861,-0.005628,0.0046216
-0.0005377,-0.0094116,0.0097938
0.00094884,-0.013336,0.018467
0.0037412,-0.016799,0.031828
0.0078002,-0.018894,0.050982
0.012659,-0.019287,0.076487
0.017904,-0.01854,0.10841
0.02424,-0.017331,0.14723
0.032084,-0.015725,0.1928
0.041344,-0.013378,0.24444
0.052312,-0.010109,0.30196
0.065011,-0.0058462,0.36613
0.079029,-0.00085186,0.4379
0.093943,0.0042528,0.51787
0.10982,0.0092881,0.60714
0.12669,0.014682,0.70683
0.14412,0.020652,0.81785
0.1619,0.027136,0.94006
0.18006,0.033944,1.0727
0.19856,0.040572,1.2162
0.21727,0.046816,1.3713
0.23584,0.05275,1.539
0.25401,0.05819,1.72
0.27152,0.06288,1.914
0.2879,0.066394,2.1201
0.30274,0.068705,2.3392
0.31647,0.070044,2.573
0.33024,0.070063,2.8225
0.34443,0.068608,3.0864
0.35844,0.066258,3.3644
0.37181,0.063351,3.6571
0.38423,0.059641,3.9649
0.39549,0.05538,4.2878
0.40576,0.050911,4.626
0.41489,0.046057,4.9793
0.42264,0.040333,5.3477
0.4296,0.033773,5.7305
0.4363,0.026927,6.1262
0.44242,0.02042,6.5341
0.44786,0.014759,6.954
0.45356,0.0097091,7.3861
0.45993,0.0050841,7.8297
0.4671,0.0011721,8.2846
0.47549,-0.0024407,8.7525
0.48519,-0.0065213,9.2353
0.49626,-0.011038,9.734
0.50861,-0.015447,10.248
0.52213,-0.019308,10.774
0.53648,-0.022652,11.312
0.55056,-0.025584,11.862
0.56378,-0.028432,12.423
0.57617,-0.031497,12.994
0.58768,-0.034678,13.575
0.59797,-0.03794,14.168
0.60626,-0.041051,14.774
0.61262,-0.043873,15.392
0.6182,-0.04652,16.024
0.62331,-0.048754,16.668
0.62755,-0.050553,17.324
0.63146,-0.052179,17.987
0.63552,-0.054213,18.658
0.63998,-0.057116,19.334
0.64496,-0.061192,20.016
0.65038,-0.066831,20.704
0.65738,-0.074214,21.398
0.66738,-0.083378,22.098
0.68111,-0.094188,22.806
0.69863,-0.10615,23.521
0.71988,-0.11849,24.243
0.74486,-0.13055,24.971
0.77352,-0.14188,25.705
0.80584,-0.15218,26.444
0.84184,-0.16145,27.19
0.8816,-0.16948,27.942
0.9253,-0.17595,28.699
0.97321,-0.18104,29.463
1.0251,-0.18483,30.233
1.0806,-0.1872,31.009
1.1397,-0.18862,31.793
1.2023,-0.19007,32.583
1.2681,-0.19244,33.382
1.3363,-0.19592,34.19
1.4067,-0.20042,35.007
1.4791,-0.2062,35.835
1.5528,-0.21334,36.674
1.6274,-0.22121,37.524
1.7023,-0.22846,38.386
1.7768,-0.23471,39.259
1.8506,-0.24021,40.141
1.9231,-0.24485,41.033
1.9938,-0.24862,41.936
2.0614,-0.25133,42.849
2.1251,-0.25268,43.773
2.1846,-0.25282,44.705
2.2401,-0.25205,45.648
2.2918,-0.25068,46.6
2.34,-0.24898,47.562
2.3849,-0.24736,48.532
2.4261,-0.24569,49.509
2.4635,-0.24374,50.494
2.4982,-0.2415,51.488
2.5299,-0.23905,52.489
2.5589,-0.23669,53.496
2.5858,-0.23441,54.509
2.6105,-0.23155,55.53
2.633,-0.22752,56.559
2.6534,-0.22243,57.595
2.6721,-0.21684,58.639
2.6892,-0.21124,59.689
2.7048,-0.20554,60.747
2.7185,-0.19955,61.811
2.7304,-0.19331,62.88
2.7399,-0.18706,63.955
2.7473,-0.18103,65.038
2.7531,-0.17492,66.128
2.7582,-0.16854,67.224
2.7633,-0.16233,68.326
2.7685,-0.15698,69.434
2.7737,-0.15284,70.549
2.7792,-0.14989,71.671
2.7851,-0.14851,72.8
2.7915,-0.14966,73.936
2.7976,-0.15346,75.079
2.8035,-0.15907,76.23
2.8098,-0.16577,77.388
2.817,-0.17311,78.554
2.8253,-0.18138,79.727
2.8347,-0.19047,80.907
2.8449,-0.19958,82.093
2.8551,-0.20829,83.283
2.8651,-0.21665,84.478
2.8751,-0.22416,85.678
2.8851,-0.23033,86.883
2.8945,-0.23508,88.093
2.9028,-0.23863,89.307
2.9095,-0.24199,90.524
2.9145,-0.2453,91.745
2.9181,-0.24792,92.971
2.92,-0.24955,94.202
2.92,-0.2499,95.436
2.9178,-0.24903,96.673
2.914,-0.2475,97.912
2.909,-0.24559,99.153
2.9029,-0.24308,100.39
2.896,-0.2396,101.63
2.8876,-0.23516,102.88
2.8771,-0.22946,104.12
2.8641,-0.22212,105.36
2.8483,-0.21324,106.61
2.8299,-0.20352,107.85
2.8091,-0.19358,109.09
2.7862,-0.18292,110.33
2.7616,-0.17137,111.57
2.7355,-0.15927,112.81
2.7083,-0.14662,114.06
